Sound Id,Subsystem,description
0x90,SPEECH,"	""EXTRA SPEED""    				"
0x91,SPEECH,"	""EXTRA MAGIC POWER""   				"
0x92,SPEECH,"	""EXTRA SHOT POWER""   				"
0x93,SPEECH,"	""EXTRA SHOT SPEED""   				"
0x94,SPEECH,"	""EXTRA FIGHT POWER""   				"
0x95,SPEECH,"	""ERR"" - Wizard   				"
0x96,SPEECH,"	""EHRR"" - Wizard   				"
0x97,SPEECH,"	""ERSH"" - Wizard   				"
0x98,SPEECH,"	""DON'T SHOOT YOUR FRIENDS ON THIS LEVEL."""
0x99,SPEECH,"	""YOUR SHOTS NOW HURT OTHER PLAYERS.""		"
0x9a,SPEECH,"	""SHOT THE FOOD.""   				"
0x9b,SPEECH,"	""FIND THE HIDDEN POTION.""  			"
0x9c,SPEECH,"	""SHOT THE POTION!""   				"
0x9d,SPEECH,"	""REMEMBER, DON'T SHOOT FOOD.""  			"
0x9e,SPEECH,"	""SHOTS DO NOT HURT OTHER PLAYERS - YET.""	"
0x9f,SPEECH,"	""HAS EATEN ALL THE FOOD LATELY.""		"
0xa0,SPEECH,"	""BETTER LUCK NEXT TIME."""
0xa1,SPEECH,"	""BETTER HURRY!""    				"
0xa2,SPEECH,"	""TIME IS RUNNING OUT!""  			"
0xa3,SPEECH,"	""TIME'S ON MY SIDE.""  				"
0xa4,SPEECH,"	""CAN YOU MAKE IT?""  				"
0xa5,SPEECH,"	""JUST KIDDING.""    				"
0xa6,SPEECH,"	""FOOLED YOU!""    				"
0xa7,SPEECH,"	""LOOKS LIKE YOU LOSE!""  			"
0xa8,SPEECH,"	""DON'T SHOOT THE POTION!""  			"
0xa9,SPEECH,"	""YUM"" - Valkyrie   				"
0xaa,SPEECH,"	""OW"" - Valkyrie   				"
0xab,SPEECH,"	""OUCH"" - Valkyrie   				"
0xac,SPEECH,"	""UH"" - Valkyrie   				"
0xad,SPEECH,"	""OOH"" - Valkyrie   				"
0xae,SPEECH,"	""OOOH"" - Valkyrie   				"
0xaf,SPEECH,"	""OWW"" - Valkyrie   				"
0xb0,SPEECH,"	""YOW"" - Valkyrie   				"
0xb1,SPEECH,"	""AAHH"" - Valkyrie"
0xb2,SPEECH,"	""OH"" - Valkyrie   				"
0xb3,SPEECH,"	""HOO"" - Valkyrie   				"
0xb4,SPEECH,"	""UGH"" - Valkyrie   				"
0xb5,SPEECH,"	""AHHHHH"" - Valkyrie   			"
0xb6,SPEECH,"	""KILL THIEF TO RECOVER STOLEN ITEM.""		"
0xb7,SPEECH,"	""SOME WALLS MAY BE DESTROYED."" 			"
0xb8,SPEECH,"	""TRAPS MAKE WALLS DISSAPPEAR.""  		"
0xb9,SPEECH,"	""UGHHH"" - Elf   			"
0xba,SPEECH,"	""AHHHH"" - Wizard   			"
0xbb,SPEECH,"	""OOOOOH"" - Warrior   			"
0xbc,SPEECH,"	""AHHH"" - Elf   				"
0xbd,SPEECH,"	""RED WARRIOR""    			"
0xbe,SPEECH,"	""RED VALKYRIE""    			"
0xbf,SPEECH,"	""RED WIZARD""    			"
0xc0,SPEECH,"	""RED ELF""    				"
0xc1,SPEECH,"	""BLUE WARRIOR""    			"
0xc2,SPEECH,"	""BLUE VALKYRIE""    			"
0xc3,SPEECH,"	""BLUE WIZARD""    			"
0xc4,SPEECH,"	""BLUE ELF""    				"
0xc5,SPEECH,"	""YELLOW WARRIOR""    			"
0xc6,SPEECH,"	""YELLOW VALKYRIE""    			"
0xc7,SPEECH,"	""YELLOW WIZARD""    			"
0xc8,SPEECH,"	""YELLOW ELF""    			"
0xc9,SPEECH,"	""GREEN WARRIOR""    			"
0xca,SPEECH,"	""GREEN VALKYRIE""    			"
0xcb,SPEECH,"	""GREEN WIZARD""    			"
0xcc,SPEECH,"	""GREEN ELF""    				"
0xcd,SPEECH,"	""SOME WALLS ARE INVISIBLE""  		"
0xce,SPEECH,"	""EXITS MAY MOVE AROUND""  		"
0xcf,SPEECH,"	""REFLECTIVE SHOTS""    			"
0xd0,SPEECH,"	""TEMPORARY TRANSPORTABILITY""    	"
0xd1,SPEECH,"	""TEMPORARY REPULSIVENESS""    			"
0xd2,SPEECH,"	""THIS TREASURE CHEST IS LOCKED."" 		"
0xd3,SPEECH,"	""IS IT""    					"
0xd4,SPEECH,"	""IS NOW IT""   					"
0xd5,UNK,"	Dragon Roar    					"
0xd6,UNK,"	Not Used"
0xd7,UNK,"	Not Used    (volume control?)			"
0xd8,UNK,"	Not Used"
0xd9,UNK,"	Not Used"
0xda,UNK,"	Not Used"
,,
,,
,,
